"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","10","ED10503-ND","101-206","CONN SOCKET 20POS IDC GOLD","","10","0","0.41300","4.13"
"2","10","ED10524-ND","302-S201","CONN HEADER VERT 20POS 2.54MM","","10","0","0.44800","4.48"
"3","10","2057-PH2-20-UA-ND","PH2-20-UA","CONN HEADER VERT 20POS 2.54MM","","10","0","0.24700","2.47"
"4","10","WM19417-ND","0014441202","CONN PLUG 2POS IDC 24AWG GOLD","","10","0","0.65700","6.57"
"5","5","2183-4000-ND","4000","POLOLU 400-POINT BREADBOARD WITH","","5","0","2.55000","12.75"
"6","1","ED10565-ND","OSTVN06A150","TERM BLK 6P SIDE ENT 2.54MM PCB","","1","0","1.77000","1.77"
"7","1","ED10567-ND","OSTVN10A150","TERM BLK 10P SIDE ENT 2.54MM PCB","","1","0","2.95000","2.95"
"8","2","ED10566-ND","OSTVN08A150","TERM BLK 8P SIDE ENT 2.54MM PCB","","2","0","2.36000","4.72"
"9","20","952-1902-ND","M20-9992046","CONN HEADER VERT 20POS 2.54MM","","20","0","0.59100","11.82"
"10","4","DW-10-07-G-S-200-ND","DW-10-07-G-S-200","CONN HDR 10POS 0.1 STACK T/H","","4","0","1.24000","4.96"
"11","2","CP3-1000-ND","PP3-002A","CONN PWR PLUG 2.1X5.5MM SOLDER","","2","0","1.29000","2.58"
